Sum of FullVolume,Column Labels,,,,,
Row Labels,1,2,4,6,8,Grand Total
2,0,0,0,0,0,0
4,6.847348,6.847348,6.847348,6.847348,6.847348,34.23674
6,7.442327,7.442327,7.442327,7.442327,7.442326,37.211634
8,7.597317,7.597317,7.597317,7.597117,7.597317,37.986385
32,7.74705,7.74705,7.747049,7.747049,7.747049,38.735247
64,7.756262,7.756262,7.756262,7.756261,7.756262,38.781309
256,7.757641,7.757641,7.757642,7.757641,7.75764,38.788205
1024,7.757882,7.757881,7.757881,7.757882,7.757882,38.789408
2048,7.758077,7.758076,7.758076,7.758076,7.758077,38.790382
Grand Total,60.663904,60.663902,60.663902,60.663701,60.663901,303.31931
